id,username,created_at,lng,lat,text
1518377614557077504,AshockiMizer5,Sun Apr 24 23:53:28 +0000 2022,-121.8737305,37.331159,@AyoTBailey4 @DailyLoonaHB @PatrickHZala It IS NOT REAL STOP SAYING THAT OVER AND OVER AGAIN!!!!!!!!!!!!!! https://t.co/Qbq0BgHsxa
1518377620710170625,blove416,Sun Apr 24 23:53:29 +0000 2022,-121.436217,37.723349999999996,@Califinest831 @itzTdizzle510 @babiiface831 @jpcrin Toms my guy. Don’t hate
1518377621544861696,MichaelCEssien,Sun Apr 24 23:53:29 +0000 2022,-122.2784865,37.758798,That part ⬇️
1518377627332927488,gmeda72,Sun Apr 24 23:53:31 +0000 2022,-117.772917,34.0654505,@realDailyWire She's been a drag to our nation for several years now!!
1518377647671156736,ericjunior,Sun Apr 24 23:53:35 +0000 2022,-118.4119065,34.0207895,I’m not even about to sit up here and front like i didn’t scope what I could salvage off the counter. 🥹🥹🥹
1518377647717625856,SheilasCreation,Sun Apr 24 23:53:35 +0000 2022,-121.31412908,37.91865502,"I'm at The Mansion in Stockton, Calif https://t.co/cLBQCHwv2c"
1518377652066824192,babygirl_vio,Sun Apr 24 23:53:37 +0000 2022,-118.4119065,34.0207895,"@smurfzurath be nicer to yourself, you deserve it"
1518377676892872704,serena_therese,Sun Apr 24 23:53:42 +0000 2022,-118.4119065,34.0207895,a legend and an icon https://t.co/Fe8NVwdQFi
1518377681397592064,EpicVoiceGuy,Sun Apr 24 23:53:43 +0000 2022,-118.4119065,34.0207895,Sorry about the booboo! Now you’re Marred Hamill! At least your safer from Darth Covid.
1518377685377961984,harryslack,Sun Apr 24 23:53:44 +0000 2022,-119.30660750000001,37.2691755,@kshvbhtni @ChippysWorld Nice Chippy
1518377700921991168,thedopebohemian,Sun Apr 24 23:53:48 +0000 2022,-121.8737305,37.331159,@DamnThereGoesQ My guy cheesing like it’s a class picture. Omg 😫😭😬
1518377709281284096,DodgerGuSSSS,Sun Apr 24 23:53:50 +0000 2022,-118.19402550000001,33.938045,@dbm422 That’s a scallop 🤦‍♂️ not a weenie 💀
1518377713123221504,imdanndaddy,Sun Apr 24 23:53:51 +0000 2022,-118.3461525,33.953633499999995,Never thought I could be obsessed with someone’s face !
1518377726834479104,jennadestinyy,Sun Apr 24 23:53:54 +0000 2022,-118.4119065,34.0207895,Everyone walking around the beach sunburnt af😂
1518377736766513152,LymanOsorio,Sun Apr 24 23:53:57 +0000 2022,-118.4119065,34.0207895,"My trip to ,Big Sur 2022 4K https://t.co/WiAShPSjUw via @YouTube #bigsur #beach #travel"
1518377738092093441,Hell_OnEarth666,Sun Apr 24 23:53:57 +0000 2022,-122.2784865,37.758798,@goatedwok @startingpg50LAL @GuruLakers Own that Bus Boy 😂
1518377739811663872,twerkaloo,Sun Apr 24 23:53:57 +0000 2022,-119.70163600000001,34.429885,The comments in this thread r so Fuckin dumb. Can we just be stoked Milani came out to prove she’s a liar?? Jfc
1518377741199962112,amandarose221,Sun Apr 24 23:53:58 +0000 2022,-118.4119065,34.0207895,LED neon light installation16 x 12 https://t.co/xVwupyEhdD
1518377743842390016,MattDeBlasi,Sun Apr 24 23:53:58 +0000 2022,-118.4119065,34.0207895,A win is a win. Angels are 9-7! #GoHalos
1518377744106758144,everyEarthquake,Sun Apr 24 23:53:58 +0000 2022,-121.5263367,37.1521683,"USGS reports a M1.05 earthquake, 10km NE of San Martin, CA on 4/24/22 @ 23:51:06 UTC https://t.co/0EskoZYJ7L #earthquake"
1518377747722096641,kipthekelly,Sun Apr 24 23:53:59 +0000 2022,-118.4119065,34.0207895,@JessMagdefrau Drag em
1518377752998531073,Marcstradamus__,Sun Apr 24 23:54:01 +0000 2022,-119.30660750000001,37.2691755,@Chrispolitic @FauneAlford @WebberStuart @ChrisMurphyCT ?  Not an American? https://t.co/uWDNX40LIH
1518377757490749443,samesince83,Sun Apr 24 23:54:02 +0000 2022,-121.8947067,36.5993042,"I have a great view of the stairs from our table, and you can tell who conquered Hurricane Point and who didn't.… https://t.co/JlCDQ6qRy1"
1518377757700345857,MarkVivLexCA,Sun Apr 24 23:54:02 +0000 2022,-118.4119065,34.0207895,#AlwaysLA have a good thing going with Jessica Mendoza in the booth with Joe Davis on road games.Love Orel breaki… https://t.co/6SM0aXpUfJ
1518377759784980480,HxcCollectibles,Sun Apr 24 23:54:02 +0000 2022,-118.4420589,34.2677731,"Just posted a photo @ Lost Angels, California https://t.co/IQ6DjCQwbO"
1518377761588404224,terronk,Sun Apr 24 23:54:03 +0000 2022,-122.4359785,37.7706565,@mr_james_c @micsolana That’s not an insult to them. Their favorite guy literally penned an op-ed praising Venezuel… https://t.co/6Px9mAb014
1518377762968461317,lefouiam,Sun Apr 24 23:54:03 +0000 2022,-118.23494861,34.04115463,Be a rebel! Join the revolution. DM me if you want to spread the message in your town.We'll fight till everyone tu… https://t.co/caw4oL7GAM
1518377766432952326,JakeMartinez71,Sun Apr 24 23:54:04 +0000 2022,-118.11269095,34.12821198,"Beautiful day at the Huntington Library! 🌹❤️💯 @ The Huntington Library, Art Museum, and Botanical Gardens https://t.co/wvGj5GcZ1Z"
1518377769360523265,TempesttStorm,Sun Apr 24 23:54:04 +0000 2022,-118.4119065,34.0207895,Beautiful Day in LA - Just left Warner Brothers Studio …… now the beach! Happy Sunday!!!
1518377777149358080,LyricalOps,Sun Apr 24 23:54:06 +0000 2022,-122.267451,37.813983,Dope vibes at @oaklifechurch. Thanks for letting us be a part multiple times a year. #genuinepartnerships… https://t.co/LeU1A4LvPR
1518377780106436608,OakViewBrewing,Sun Apr 24 23:54:07 +0000 2022,-121.9599152,37.788517,Drinking an Epoch by Narrative Fermentations at @crowcanyoncc — https://t.co/IrlQhgMgmd
1518377795231002624,cathiebun,Sun Apr 24 23:54:11 +0000 2022,-117.0226945,38.502147,Oohs! Toutci’s chimken! Hellow! ((Hugs)) Culd Ise pwease hab sun ov dat grate chimken and a lemonade? Hows are youse doing? #Chilltent
1518377803225260032,mrjaxtaylor,Sun Apr 24 23:54:13 +0000 2022,-118.4119065,34.0207895,Great job boys! Can’t wait to listen. @spittinchiclets @NHL
1518377803644694528,CSULBPhysGique,Sun Apr 24 23:54:13 +0000 2022,-117.7823605,33.689732,I'm the 2nd owner. Sold new in Calgary. I bought it in 1999. Figure its time to bring it back to life https://t.co/VzgYDdzsra
1518377810259107840,TerrillCharming,Sun Apr 24 23:54:14 +0000 2022,-121.8737305,37.331159,Denver is a 6 seed. They got lucky today but they SHOULD lose to the 3 seed Warriors. All the more reason Joker s… https://t.co/ebkKTTMhOT
1518377814767988736,eduardordor,Sun Apr 24 23:54:15 +0000 2022,-118.125196,34.583629,trying to be a raw vegan is hard when i have a coffee addiction 😩😩😩
1518377817016209409,Jerrywe80369355,Sun Apr 24 23:54:16 +0000 2022,-121.979527,37.5236445,"@AshNee93 really nice smile,,"
1518377816848429056,LeRoyMobley,Sun Apr 24 23:54:16 +0000 2022,-118.3893535,33.783326,How to stay strong. 💯 ⁣.⁣.⁣.⁣.⁣.⁣#beyourbestself #coach #coaching #entrepreneur #entrepreneurship #growth… https://t.co/o0wTnYOhTX
1518377822250692608,BeccaHabegger,Sun Apr 24 23:54:17 +0000 2022,-119.30660750000001,37.2691755,@OneLanePhoto @Showtime @yellowjackets96 Are you talking about this? https://t.co/hRHc0eNpnW
1518377824381374464,tmj_cao_legal,Sun Apr 24 23:54:18 +0000 2022,-118.083186,34.048655,"Panda Restaurant Group is hiring in #Rosemead, CA! Read about our latest #Legal job opening via the link in our bio… https://t.co/6RHBkBkwwK"
1518377837127905281,haileyfarfan,Sun Apr 24 23:54:21 +0000 2022,-117.585658,33.859093,Selling an EDC ticket lmk ): #EDCLV2022
1518377839048884224,JedaiSaboteur,Sun Apr 24 23:54:21 +0000 2022,-122.4359785,37.7706565,So soon until MF TWRP 🥹
1518377839975813120,Nowist,Sun Apr 24 23:54:21 +0000 2022,-118.4119065,34.0207895,@MurphyAJC @DavidPerdueGA What a total idiot.
